Open Time,Severity,Policy,Provider,Account Name,Account ID,Resource Name,Resource Type,Resource ID,Status,Sub-Status,Exclusion,Labels,Ticket Links
2024-08-12T15:51:44-03:00,Medium,Inactive Microsoft Entra ID User,Microsoft Entra ID,Shield Security,4dc6941e-7211-4dca-9d7a-f4f027f5f0c8,CyberArk Identity,User,cyberark.identity@shieldsec.com.br,Open,Existing resource,,"Inactive
No MFA",
2024-08-12T15:51:44-03:00,Medium,Inactive Microsoft Entra ID User,Microsoft Entra ID,Shield Security,4dc6941e-7211-4dca-9d7a-f4f027f5f0c8,Alander.Faustino,User,Alander.Faustino_prodemge.gov.br#EXT#@shieldsec.onmicrosoft.com,Open,Existing resource,,"Microsoft Entra ID External
Guest
Inactive",
2024-08-12T15:51:44-03:00,Medium,Inactive Microsoft Entra ID User,Microsoft Entra ID,Shield Security,4dc6941e-7211-4dca-9d7a-f4f027f5f0c8,thiago.diniz,User,thiago.diniz_oncoclinicas.com#EXT#@shieldsec.onmicrosoft.com,Open,Existing resource,,"Microsoft Entra ID External
Guest
Inactive",
2024-08-12T15:51:44-03:00,Medium,Inactive Microsoft Entra ID User,Microsoft Entra ID,Shield Security,4dc6941e-7211-4dca-9d7a-f4f027f5f0c8,luiz.scaldaferri,User,luiz.scaldaferri_lideraviacao.com.br#EXT#@shieldsec.onmicrosoft.com,Open,Existing resource,,"Microsoft Entra ID External
Guest
Inactive",
2024-08-12T15:51:44-03:00,Medium,Inactive Microsoft Entra ID User,Microsoft Entra ID,Shield Security,4dc6941e-7211-4dca-9d7a-f4f027f5f0c8,rodolfo.melo,User,rodolfo.melo_totvs.com.br#EXT#@shieldsec.onmicrosoft.com,Open,Existing resource,,"Microsoft Entra ID External
Guest
Inactive",
2024-08-12T15:51:44-03:00,Medium,Inactive Microsoft Entra ID User,Microsoft Entra ID,Shield Security,4dc6941e-7211-4dca-9d7a-f4f027f5f0c8,priscila.araujo,User,priscila.araujo_grupomarista.org.br#EXT#@shieldsec.onmicrosoft.com,Open,Existing resource,,"Microsoft Entra ID External
Guest
Inactive",
2024-08-12T15:51:44-03:00,Medium,Inactive Microsoft Entra ID User,Microsoft Entra ID,Shield Security,4dc6941e-7211-4dca-9d7a-f4f027f5f0c8,Isadora Barreto,User,isadora.barreto_localiza.com#EXT#@shieldsec.onmicrosoft.com,Open,Existing resource,,"Microsoft Entra ID External
Guest
Inactive",
2024-08-12T15:51:44-03:00,Medium,Inactive Microsoft Entra ID User,Microsoft Entra ID,Shield Security,4dc6941e-7211-4dca-9d7a-f4f027f5f0c8,lmiranda,User,lmiranda_iguatemi.com.br#EXT#@shieldsec.onmicrosoft.com,Open,Existing resource,,"Microsoft Entra ID External
Guest
Inactive",
2024-08-12T15:51:44-03:00,Medium,Inactive Microsoft Entra ID User,Microsoft Entra ID,Shield Security,4dc6941e-7211-4dca-9d7a-f4f027f5f0c8,robertol.silva,User,robertol.silva_grupofleury.com.br#EXT#@shieldsec.onmicrosoft.com,Open,Existing resource,,"Microsoft Entra ID External
Guest
Inactive",
2024-08-12T15:51:44-03:00,Medium,Inactive Microsoft Entra ID User,Microsoft Entra ID,Shield Security,4dc6941e-7211-4dca-9d7a-f4f027f5f0c8,amlcarvalho,User,amlcarvalho_tjma.jus.br#EXT#@shieldsec.onmicrosoft.com,Open,Existing resource,,"Microsoft Entra ID External
Guest
Inactive",
